Sam,age,39
Jenny,age,50
John,age,38
Andrew,age,53
Mary,age,28
Laura,age,37
Alice,age,49
Tim,age,52
Sam,education,Bachelors
Jenny,education,Bachelors
John,education,HS-grad
Andrew,education,11th
Mary,education,Bachelors
Laura,education,Masters
Alice,education,?
Tim,education,HS-grad
Sam,employment,Clerical
Jenny,employment,Managerial
John,employment,Unskilled
Andrew,employment,Unskilled
Mary,employment,Professional
Laura,employment,Managerial
Alice,employment,Clerical
Tim,employment,Managerial
Sam,sex,Male
Jenny,sex,Female
John,sex,Male
Andrew,sex,Male
Mary,sex,Female
Laura,sex,Female
Alice,sex,Female
Tim,sex,Male
Sam,US-citizen,Yes
Jenny,US-citizen,Yes
John,US-citizen,Yes
Andrew,US-citizen,Yes
Mary,US-citizen,Yes
Laura,US-citizen,No
Alice,US-citizen,No
Tim,US-citizen,Yes
Sam,class,<=50K
Jenny,class,<=50K
John,class,<=50K
Andrew,class,<=50K
Mary,class,>50K
Laura,class,<=50K
Alice,class,<=50K
Tim,class,>50K
